종목명,티커,매수사유,진입일시,진입가,청산일시,청산가,보유봉수,청산사유,손익률(%)
삼성전자,005930,엔하4턴,2026-03-04 09:00:00,190000,2026-03-11 14:00:00,188500,40,매도신호,-0.7894736842105263
삼성전자,005930,피보4턴,2026-03-13 14:00:00,184200,2026-03-16 10:00:00,185800,3,매도신호,0.8686210640608035
삼성전자,005930,피보5턴,2026-03-16 12:00:00,186000,2026-03-16 15:00:00,188700,3,매도신호,1.4516129032258065
삼성전자,005930,피보5턴,2026-03-19 11:00:00,204500,2026-03-19 12:00:00,203750,1,매도신호,-0.36674816625916873
삼성전자,005930,피보4턴,2026-03-24 12:00:00,189700,2026-03-25 10:00:00,194900,5,매도신호,2.7411702688455457
삼성전자,005930,엔하4턴,2026-03-26 10:00:00,182200,2026-04-02 10:00:00,181500,35,매도신호,-0.38419319429198684
삼성전자,005930,피보5턴,2026-04-02 13:00:00,179100,2026-04-03 10:00:00,183800,4,매도신호,2.6242322724734786
삼성전자,005930,피보5턴,2026-04-03 11:00:00,184100,2026-04-03 15:00:00,186200,4,매도신호,1.1406844106463878
삼성전자,005930,피보4턴,2026-04-10 09:00:00,208750,2026-04-10 11:00:00,208000,2,매도신호,-0.3592814371257485
삼성전자,005930,피보5턴,2026-04-10 13:00:00,207000,2026-04-13 14:00:00,201000,8,매도신호,-2.898550724637681
삼성전자,005930,피보4턴+피보5턴,2026-04-14 09:00:00,207250,2026-04-14 13:00:00,208500,4,매도신호,0.6031363088057901
삼성전자,005930,피보4턴,2026-04-16 09:00:00,214750,2026-04-16 12:00:00,216500,3,매도신호,0.8149010477299184
삼성전자,005930,피보5턴,2026-04-17 13:00:00,216500,2026-04-17 15:00:00,216000,2,매도신호,-0.23094688221709006
삼성전자,005930,피보4턴+피보5턴,2026-04-20 10:00:00,218500,2026-04-20 11:00:00,217500,1,매도신호,-0.4576659038901602
삼성전자,005930,피보4턴,2026-04-20 13:00:00,216500,2026-04-20 14:00:00,215500,1,매도신호,-0.4618937644341801
