종목명,티커,매수사유,진입일시,진입가,청산일시,청산가,보유봉수,청산사유,손익률(%)
삼성전자,005930,피보4턴,2026-07-14 13:00:00,264000,2026-07-15 13:00:00,283250,7,매도신호,7.291666666666667
삼성전자,005930,피보4턴,2026-07-21 09:00:00,251000,2026-07-22 11:00:00,271500,9,매도신호,8.167330677290837
삼성전자,005930,피보4턴,2026-07-23 09:00:00,270250,2026-07-23 10:00:00,267000,1,매도신호,-1.2025901942645698
삼성전자,005930,피보4턴+피보5턴,2026-07-23 12:00:00,269000,2026-07-23 14:00:00,268000,2,매도신호,-0.37174721189591076
삼성전자,005930,피보4턴,2026-07-23 15:00:00,270000,2026-07-24 09:00:00,258500,1,매도신호,-4.2592592592592595
삼성전자,005930,피보4턴,2026-07-27 13:00:00,251000,2026-07-31 10:00:00,247500,25,매도신호,-1.394422310756972
삼성전자,005930,피보4턴,2026-08-04 14:00:00,238750,2026-08-05 11:00:00,246500,4,매도신호,3.2460732984293195
삼성전자,005930,피보4턴,2026-08-07 11:00:00,233000,2026-08-11 11:00:00,238750,14,매도신호,2.467811158798283
삼성전자,005930,피보4턴,2026-08-14 12:00:00,269250,2026-08-18 10:00:00,278500,5,매도신호,3.4354688950789227
삼성전자,005930,피보4턴,2026-08-20 09:00:00,264500,2026-08-20 11:00:00,269000,2,매도신호,1.7013232514177694
삼성전자,005930,피보4턴,2026-08-25 14:00:00,256000,2026-08-26 13:00:00,263750,6,매도신호,3.02734375
삼성전자,005930,피보4턴,2026-08-31 14:00:00,256250,2026-09-01 10:00:00,258250,3,매도신호,0.7804878048780488
삼성전자,005930,피보4턴,2026-09-03 10:00:00,252250,2026-09-04 14:00:00,256500,11,매도신호,1.6848364717542121
