종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,추세선방향(수식4),추세선방향(수식5),강약등급(수식4),강약등급(수식5),공통기간구간,공통기간제외여부
HD현대일렉트릭,267260.KS,2017-11-06 00:00:00+09:00,엔하2터치,롱,48046.83203125,45298.39453125,5,5봉경과,-5.720330318994595,-56.93458380394852,False,하락,하락,약한신호,약한신호,,False
HD현대일렉트릭,267260.KS,2017-11-22 00:00:00+09:00,엔하2터치,롱,46621.7109375,48046.83203125,1,MA50복귀,3.0567756203981546,-47.83525860491624,False,하락,하락,약한신호,약한신호,,False
HD현대일렉트릭,267260.KS,2019-12-02 00:00:00+09:00,엔하2터치,롱,8137.80517578125,8242.3798828125,5,5봉경과,1.285048053773425,-36.533850679241795,False,하락,하락,약한신호,약한신호,,False
HD현대일렉트릭,267260.KS,2021-12-08 00:00:00+09:00,엔하2터치,롱,21247.65625,20724.783203125,5,5봉경과,-2.460850461447954,-95.83781619716467,False,하락,하락,약한신호,약한신호,학습,False
HD현대일렉트릭,267260.KS,2022-02-11 00:00:00+09:00,엔하2터치,롱,17635.08203125,18490.693359375,5,5봉경과,4.8517570069071745,50.529159295879154,False,하락,하락,약한신호,약한신호,학습,False
HD현대일렉트릭,267260.KS,2023-01-10 00:00:00+09:00,엔하2터치,롱,35879.453125,38620.90625,2,MA50복귀,7.640732748765941,61.026069752216515,True,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2023-03-30 00:00:00+09:00,엔하2터치,롱,36216.1171875,38524.71875,4,MA50복귀,6.374514281991594,30.7720759514257,False,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2023-04-11 00:00:00+09:00,엔하2터치,롱,37081.83984375,39342.34375,1,MA50복귀,6.09598637978854,118.68232044263402,True,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2023-09-01 00:00:00+09:00,엔하2터치,롱,60696.875,60312.109375,5,5봉경과,-0.6339134016372342,-88.4897808355335,False,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2024-08-05 00:00:00+09:00,엔하2터치,롱,257647.25,278590.21875,5,5봉경과,8.128543483386684,46.0601778215083,True,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2025-03-19 00:00:00+09:00,엔하2터치,롱,342048.59375,329197.09375,5,5봉경과,-3.757214686692452,-89.69632783646513,False,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2025-03-26 00:00:00+09:00,엔하2터치,롱,329197.09375,290642.4375,5,5봉경과,-11.711724368769582,-14.578348344987727,False,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2025-04-22 00:00:00+09:00,엔하2터치,롱,297562.53125,310908.34375,5,5봉경과,4.485044687560944,-1.5324281741707608,False,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2025-08-20 00:00:00+09:00,엔하2터치,롱,443140.46875,486313.1875,2,MA50복귀,9.742445521118974,111.22587867000533,True,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2025-12-26 00:00:00+09:00,엔하2터치,롱,758251.625,812837.75,3,MA50복귀,7.198945996324109,89.71105941020545,True,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2026-01-02 00:00:00+09:00,엔하2터치,롱,812837.75,861469.0625,1,MA50복귀,5.982905259998074,14.07947646050721,True,하락,상승,약한신호,강한신호,검증,False
HD현대일렉트릭,267260.KS,2026-07-02 00:00:00+09:00,엔하2터치,롱,967351.125,813613.1875,5,5봉경과,-15.8926715984333,-141.81863968138015,False,하락,하락,약한신호,약한신호,검증,False
HD현대일렉트릭,267260.KS,2026-09-02 00:00:00+09:00,엔하2터치,롱,711000.0,751000.0,5,5봉경과,5.625879043600563,32.245272494491005,False,하락,하락,약한신호,약한신호,검증,False
HD현대중공업,329180.KS,2022-01-06 00:00:00+09:00,엔하2터치,롱,107718.5078125,108688.9375,1,MA50복귀,0.9008941055785664,-128.0496739116296,False,상승,상승,강한신호,강한신호,학습,True
HD현대중공업,329180.KS,2022-01-25 00:00:00+09:00,엔하2터치,롱,94811.6953125,98984.5703125,5,5봉경과,4.401223906234537,57.62320322684812,False,하락,상승,약한신호,강한신호,학습,True
HD현대중공업,329180.KS,2022-01-27 00:00:00+09:00,엔하2터치,롱,90638.8046875,98499.3515625,5,5봉경과,8.67238585294809,83.36230553225838,True,하락,하락,약한신호,약한신호,학습,True
HD현대중공업,329180.KS,2022-09-26 00:00:00+09:00,엔하2터치,롱,113541.125,115967.21875,5,5봉경과,2.1367533129515848,-62.88239872026544,False,하락,하락,약한신호,약한신호,학습,True
HD현대중공업,329180.KS,2022-10-11 00:00:00+09:00,엔하2터치,롱,113055.90625,111115.03125,5,5봉경과,-1.7167391464786919,-104.6285546428947,False,하락,하락,약한신호,약한신호,학습,True
HD현대중공업,329180.KS,2022-11-09 00:00:00+09:00,엔하2터치,롱,109659.375,111600.25,5,5봉경과,1.7699125131800177,3.4893755651279648,False,상승,하락,강한신호,약한신호,학습,True
HD현대중공업,329180.KS,2023-01-16 00:00:00+09:00,엔하2터치,롱,105777.6171875,104904.234375,5,5봉경과,-0.825678282156662,-55.46008953980696,False,하락,하락,약한신호,약한신호,검증,True
HD현대중공업,329180.KS,2023-01-18 00:00:00+09:00,엔하2터치,롱,105292.40625,109950.5,5,5봉경과,4.423959823788337,23.46003209378382,False,하락,하락,약한신호,약한신호,검증,True
HD현대중공업,329180.KS,2023-02-15 00:00:00+09:00,엔하2터치,롱,102866.3203125,108883.03125,4,MA50복귀,5.849058194384414,28.477373975351203,False,하락,하락,약한신호,약한신호,검증,True
