종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,피보턴까지거리(일),구간
HD현대일렉트릭,267260.KS,2017-11-06 00:00:00+09:00,엔하2터치,롱,48046.828125,45298.390625,5,5봉경과,-5.720330784062553,-56.93485420400847,False,-2.0,학습
HD현대일렉트릭,267260.KS,2017-11-22 00:00:00+09:00,엔하2터치,롱,46621.7109375,48046.828125,1,MA50복귀,3.056767241791018,-47.83544202628515,False,3.0,학습
HD현대일렉트릭,267260.KS,2019-12-02 00:00:00+09:00,엔하2터치,롱,8137.80419921875,8242.380859375,5,5봉경과,1.2850722086221935,-36.53385456684144,False,1.0,학습
HD현대일렉트릭,267260.KS,2021-12-08 00:00:00+09:00,엔하2터치,롱,21247.65625,20724.787109375,5,5봉경과,-2.4608320770673235,-95.8378755598647,False,1.0,학습
HD현대일렉트릭,267260.KS,2022-02-11 00:00:00+09:00,엔하2터치,롱,17635.080078125,18490.693359375,5,5봉경과,4.851768619476384,50.52927561984805,False,-2.0,학습
HD현대일렉트릭,267260.KS,2023-01-10 00:00:00+09:00,엔하2터치,롱,35879.45703125,38620.9140625,2,MA50복귀,7.640742804057118,61.025813674538455,True,2.0,학습
HD현대일렉트릭,267260.KS,2023-03-30 00:00:00+09:00,엔하2터치,롱,36216.125,38524.72265625,4,MA50복귀,6.374502120947506,30.772567370490613,False,2.0,학습
HD현대일렉트릭,267260.KS,2023-04-11 00:00:00+09:00,엔하2터치,롱,37081.84375,39342.3515625,1,MA50복귀,6.095996271760354,118.6822146953311,True,0.0,학습
HD현대일렉트릭,267260.KS,2023-09-01 00:00:00+09:00,엔하2터치,롱,60696.87890625,60312.1015625,5,5봉경과,-0.6339326678465822,-88.49000002950932,False,-2.0,학습
HD현대일렉트릭,267260.KS,2024-08-05 00:00:00+09:00,엔하2터치,롱,257647.265625,278590.25,5,5봉경과,8.128549054924596,46.060255635630504,True,-2.0,검증
HD현대일렉트릭,267260.KS,2025-03-19 00:00:00+09:00,엔하2터치,롱,342048.625,329197.09375,5,5봉경과,-3.757223479556452,-89.69629541083097,False,-2.0,검증
HD현대일렉트릭,267260.KS,2025-03-26 00:00:00+09:00,엔하2터치,롱,329197.09375,290642.46875,5,5봉경과,-11.71171487597618,-14.57822015692373,False,-1.0,검증
HD현대일렉트릭,267260.KS,2025-04-22 00:00:00+09:00,엔하2터치,롱,297562.53125,310908.375,5,5봉경과,4.48505518955522,-1.5324439951399071,False,2.0,검증
HD현대일렉트릭,267260.KS,2025-08-20 00:00:00+09:00,엔하2터치,롱,443140.46875,486313.1875,2,MA50복귀,9.742445521118974,111.22587867000533,True,3.0,검증
HD현대일렉트릭,267260.KS,2025-12-26 00:00:00+09:00,엔하2터치,롱,758251.625,812837.75,3,MA50복귀,7.198945996324109,89.71105941020545,True,3.0,검증
HD현대일렉트릭,267260.KS,2026-01-02 00:00:00+09:00,엔하2터치,롱,812837.75,861469.0625,1,MA50복귀,5.982905259998074,14.07947646050721,True,0.0,검증
HD현대일렉트릭,267260.KS,2026-07-02 00:00:00+09:00,엔하2터치,롱,967351.125,813613.1875,5,5봉경과,-15.8926715984333,-141.81863968138015,False,1.0,검증
HD현대일렉트릭,267260.KS,2026-09-02 00:00:00+09:00,엔하2터치,롱,711000.0,751000.0,5,5봉경과,5.625879043600563,32.245272494491005,False,3.0,검증
HD현대중공업,329180.KS,2022-01-06 00:00:00+09:00,엔하2터치,롱,107718.5078125,108688.9375,1,MA50복귀,0.9008941055785664,-128.049719319875,False,-2.0,학습
HD현대중공업,329180.KS,2022-01-25 00:00:00+09:00,엔하2터치,롱,94811.6875,98984.5703125,5,5봉경과,4.401232508914052,57.623261448550146,False,-2.0,학습
HD현대중공업,329180.KS,2022-01-27 00:00:00+09:00,엔하2터치,롱,90638.8125,98499.3515625,5,5봉경과,8.672376486066605,83.3622253156149,True,2.0,학습
HD현대중공업,329180.KS,2022-09-26 00:00:00+09:00,엔하2터치,롱,113541.125,115967.21875,5,5봉경과,2.1367533129515848,-62.88245808438605,False,-1.0,학습
HD현대중공업,329180.KS,2022-10-11 00:00:00+09:00,엔하2터치,롱,113055.90625,111115.0390625,5,5봉경과,-1.716732236180717,-104.62847507977037,False,1.0,학습
HD현대중공업,329180.KS,2022-11-09 00:00:00+09:00,엔하2터치,롱,109659.375,111600.25,5,5봉경과,1.7699125131800177,3.489302535982624,False,2.0,학습
HD현대중공업,329180.KS,2023-01-16 00:00:00+09:00,엔하2터치,롱,105777.625,104904.234375,5,5봉경과,-0.8256856069513756,-55.460163169667496,False,-1.0,학습
HD현대중공업,329180.KS,2023-01-18 00:00:00+09:00,엔하2터치,롱,105292.40625,109950.5078125,5,5봉경과,4.423967243601672,23.46000022272195,False,3.0,학습
HD현대중공업,329180.KS,2023-02-15 00:00:00+09:00,엔하2터치,롱,102866.3203125,108883.0234375,4,MA50복귀,5.849050599575952,28.477177455439453,False,-1.0,학습
HD현대중공업,329180.KS,2023-04-07 00:00:00+09:00,엔하2터치,롱,96946.6484375,101604.75,5,MA50복귀,4.804809281780386,61.328422799128596,True,1.0,학습
HD현대중공업,329180.KS,2023-09-19 00:00:00+09:00,엔하2터치,롱,123245.484375,116743.5703125,5,5봉경과,-5.275579949620365,-62.15637515917616,False,0.0,학습
HD현대중공업,329180.KS,2024-01-24 00:00:00+09:00,엔하2터치,롱,113929.296875,110726.859375,5,5봉경과,-2.810899029345914,-104.53159740808147,False,-1.0,학습
HD현대중공업,329180.KS,2024-01-30 00:00:00+09:00,엔하2터치,롱,111794.3359375,111891.3828125,5,5봉경과,0.08680840061007675,26.611060900768074,False,-1.0,학습
HD현대중공업,329180.KS,2024-03-13 00:00:00+09:00,엔하2터치,롱,107815.546875,116258.34375,1,MA50복귀,7.830778695384695,36.32291894146793,False,1.0,학습
HD현대중공업,329180.KS,2025-04-07 00:00:00+09:00,엔하2터치,롱,269269.59375,316672.78125,3,MA50복귀,17.604359571326462,20.205764831570008,False,1.0,검증
HD현대중공업,329180.KS,2025-12-26 00:00:00+09:00,엔하2터치,롱,502403.46875,539691.25,5,5봉경과,7.421879737967076,8.152700248934366,False,1.0,검증
HD현대중공업,329180.KS,2026-03-04 00:00:00+09:00,엔하2터치,롱,504813.125,569026.125,3,MA50복귀,12.720152630738355,49.79681699207279,False,3.0,검증
HD현대중공업,329180.KS,2026-03-09 00:00:00+09:00,엔하2터치,롱,569026.125,575941.375,1,MA50복귀,1.2152781210177301,70.82262265162574,True,0.0,검증
HD현대중공업,329180.KS,2026-07-02 00:00:00+09:00,엔하2터치,롱,582856.625,500861.5625,5,5봉경과,-14.067792829840442,-132.58890942073745,False,1.0,검증
HD현대중공업,329180.KS,2026-09-11 00:00:00+09:00,엔하2터치,롱,479000.0,479000.0,1,MA50복귀,0.0,-72.68164213249831,False,-2.0,검증
SK하이닉스,000660.KS,2000-04-03 00:00:00+09:00,엔하2터치,롱,-225713.96875,-219049.203125,5,5봉경과,-2.9527484107028714,10.954407131159904,True,2.0,학습
SK하이닉스,000660.KS,2000-04-05 00:00:00+09:00,엔하2터치,롱,-220382.078125,-215494.609375,5,5봉경과,-2.2177251397129685,83.71442989584804,True,0.0,학습
SK하이닉스,000660.KS,2000-04-13 00:00:00+09:00,엔하2터치,롱,-215494.609375,-171062.765625,2,MA50복귀,-20.61854070450573,11.192649757958407,False,1.0,학습
SK하이닉스,000660.KS,2000-06-22 00:00:00+09:00,엔하2터치,롱,-195500.296875,-198166.15625,5,5봉경과,1.3636088628062346,-0.30904812896784506,False,-1.0,학습
SK하이닉스,000660.KS,2002-08-07 00:00:00+09:00,엔하2터치,롱,-7846.904296875,-6716.41845703125,5,5봉경과,-14.40677491496821,-141.70720575954084,False,-1.0,학습
SK하이닉스,000660.KS,2003-09-19 00:00:00+09:00,엔하2터치,롱,4435.08056640625,3993.86376953125,5,5봉경과,-9.948337809622213,-25.225541203051378,False,-2.0,학습
SK하이닉스,000660.KS,2003-10-24 00:00:00+09:00,엔하2터치,롱,4011.05419921875,4354.8583984375,2,MA50복귀,8.571417441472473,107.15823841808853,True,1.0,학습
SK하이닉스,000660.KS,2003-11-04 00:00:00+09:00,엔하2터치,롱,4154.3056640625,4314.748046875,1,MA50복귀,3.8620745748304715,-101.55293646482039,False,1.0,학습
SK하이닉스,000660.KS,2003-11-20 00:00:00+09:00,엔하2터치,롱,3816.23046875,3713.090087890625,5,5봉경과,-2.7026769400842414,76.29006282514968,True,-2.0,학습
SK하이닉스,000660.KS,2003-12-05 00:00:00+09:00,엔하2터치,롱,3695.899169921875,3609.948974609375,5,5봉경과,-2.3255557405890173,3.296876600677567,True,-2.0,학습
SK하이닉스,000660.KS,2004-06-03 00:00:00+09:00,엔하2터치,롱,6946.98095703125,7939.4033203125,5,MA50복귀,14.285664080837723,-0.004325597936983172,False,2.0,학습
SK하이닉스,000660.KS,2004-06-14 00:00:00+09:00,엔하2터치,롱,6847.7353515625,7244.7080078125,5,5봉경과,5.797137825418731,0.3976219757070867,False,1.0,학습
SK하이닉스,000660.KS,2004-07-28 00:00:00+09:00,엔하2터치,롱,6814.6572265625,5822.2314453125,5,5봉경과,-14.56310637872841,-32.33133969073862,False,-3.0,학습
SK하이닉스,000660.KS,2005-03-29 00:00:00+09:00,엔하2터치,롱,8996.658203125,9846.734375,4,MA50복귀,9.448799239474553,98.67089091009905,True,1.0,학습
SK하이닉스,000660.KS,2005-10-26 00:00:00+09:00,엔하2터치,롱,14876.36328125,13920.0234375,5,5봉경과,-6.428586245640827,-38.96104931224241,False,-2.0,학습
SK하이닉스,000660.KS,2006-02-21 00:00:00+09:00,엔하2터치,롱,22070.3359375,24103.13671875,5,5봉경과,9.210556590559372,89.0759880273178,True,2.0,학습
SK하이닉스,000660.KS,2006-03-03 00:00:00+09:00,엔하2터치,롱,22106.640625,21344.33984375,5,5봉경과,-3.4482886576078315,-44.48541709584605,False,-3.0,학습
