진입밴드,종목명,티커,터치시각,청산방식,진입가,청산가,보유봉수,청산사유,손익률(%),구간,방향
엔하4,HD현대일렉트릭,267260.KS,2017-09-04 00:00:00+09:00,기존방식(MA50복귀or5봉),52780.08203125,44748.32421875,5,5봉경과,-15.217403049401405,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2017-09-28 00:00:00+09:00,기존방식(MA50복귀or5봉),46316.33203125,49370.15625,5,5봉경과,6.593406871445606,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2018-02-09 00:00:00+09:00,기존방식(MA50복귀or5봉),39211.09765625,39048.23046875,5,5봉경과,-0.41535992929297655,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2018-03-02 00:00:00+09:00,기존방식(MA50복귀or5봉),35587.234375,34895.03515625,5,5봉경과,-1.9450773034396553,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2018-03-14 00:00:00+09:00,기존방식(MA50복귀or5봉),33754.93359375,32981.30078125,5,5봉경과,-2.29191033764393,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2018-07-04 00:00:00+09:00,기존방식(MA50복귀or5봉),25489.251953125,24878.486328125,5,5봉경과,-2.396169279989873,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2018-10-31 00:00:00+09:00,기존방식(MA50복귀or5봉),19178.01171875,16449.931640625,5,5봉경과,-14.225041251058393,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2018-11-23 00:00:00+09:00,기존방식(MA50복귀or5봉),18037.919921875,22353.9921875,5,5봉경과,23.927771518659423,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2019-04-25 00:00:00+09:00,기존방식(MA50복귀or5봉),18892.9921875,18119.35546875,5,5봉경과,-4.094834270147289,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2019-05-02 00:00:00+09:00,기존방식(MA50복귀or5봉),18811.55859375,16775.673828125,5,5봉경과,-10.822520396058026,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2019-07-26 00:00:00+09:00,기존방식(MA50복귀or5봉),11604.5322265625,10464.435546875,5,5봉경과,-9.824581098390556,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2019-08-23 00:00:00+09:00,기존방식(MA50복귀or5봉),10057.259765625,10342.283203125,5,5봉경과,2.8340069178106533,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2020-03-13 00:00:00+09:00,기존방식(MA50복귀or5봉),6464.6123046875,5865.68505859375,5,5봉경과,-9.264704793812104,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2022-01-25 00:00:00+09:00,기존방식(MA50복귀or5봉),16684.404296875,18253.01953125,5,5봉경과,9.401685588911333,학습,롱
엔하4,HD현대일렉트릭,267260.KS,2025-04-07 00:00:00+09:00,기존방식(MA50복귀or5봉),261973.671875,303494.0,5,5봉경과,15.849046138045242,검증,롱
엔하4,HD현대일렉트릭,267260.KS,2026-07-29 00:00:00+09:00,기존방식(MA50복귀or5봉),585002.875,770686.375,5,5봉경과,31.740613240575954,검증,롱
엔하4,HD현대중공업,329180.KS,2023-03-08 00:00:00+09:00,기존방식(MA50복귀or5봉),94520.5546875,93841.2578125,5,5봉경과,-0.7186763527212293,학습,롱
엔하4,HD현대중공업,329180.KS,2023-03-10 00:00:00+09:00,기존방식(MA50복귀or5봉),92094.4609375,92870.8125,5,5봉경과,0.8429948496325655,학습,롱
엔하4,HD현대중공업,329180.KS,2023-10-05 00:00:00+09:00,기존방식(MA50복귀or5봉),108688.9375,110435.71875,5,5봉경과,1.6071380309518621,학습,롱
엔하4,HD현대중공업,329180.KS,2023-10-24 00:00:00+09:00,기존방식(MA50복귀or5봉),105777.6328125,99081.6171875,5,5봉경과,-6.330275547827078,학습,롱
엔하4,HD현대중공업,329180.KS,2023-10-31 00:00:00+09:00,기존방식(MA50복귀or5봉),99081.6171875,110532.765625,5,5봉경과,11.557288589496965,학습,롱
엔하4,HD현대중공업,329180.KS,2026-07-29 00:00:00+09:00,기존방식(MA50복귀or5봉),428745.40625,502837.34375,5,5봉경과,17.281103522027532,검증,롱
엔하4,SK하이닉스,000660.KS,2001-05-14 00:00:00+09:00,기존방식(MA50복귀or5봉),-47081.41015625,-42058.71875,5,5봉경과,-10.668098915434129,학습,롱
엔하4,SK하이닉스,000660.KS,2001-11-12 00:00:00+09:00,기존방식(MA50복귀or5봉),-16082.767578125,-19583.427734375,5,5봉경과,21.76652829959085,학습,롱
엔하4,SK하이닉스,000660.KS,2001-12-27 00:00:00+09:00,기존방식(MA50복귀or5봉),-30855.623046875,-36973.546875,5,5봉경과,19.82758156861983,학습,롱
엔하4,SK하이닉스,000660.KS,2003-03-10 00:00:00+09:00,기존방식(MA50복귀or5봉),2045.6373291015625,1744.80810546875,5,5봉경과,-14.705892357025757,학습,롱
엔하4,SK하이닉스,000660.KS,2003-03-17 00:00:00+09:00,기존방식(MA50복귀or5봉),1744.80810546875,1865.1402587890625,5,5봉경과,6.896583810171192,학습,롱
엔하4,SK하이닉스,000660.KS,2003-03-25 00:00:00+09:00,기존방식(MA50복귀or5봉),1744.80810546875,1624.477294921875,5,5봉경과,-6.896506851941041,학습,롱
엔하4,SK하이닉스,000660.KS,2003-04-14 00:00:00+09:00,기존방식(MA50복귀or5봉),1744.80810546875,2306.3564453125,2,MA50복귀,32.183959833960515,학습,롱
엔하4,SK하이닉스,000660.KS,2003-12-24 00:00:00+09:00,기존방식(MA50복귀or5봉),2979.639892578125,3705.057373046875,5,5봉경과,24.345810454332607,학습,롱
엔하4,SK하이닉스,000660.KS,2004-08-03 00:00:00+09:00,기존방식(MA50복귀or5봉),5643.59375,6153.0390625,5,5봉경과,9.026966416567458,학습,롱
엔하4,SK하이닉스,000660.KS,2007-05-21 00:00:00+09:00,기존방식(MA50복귀or5봉),21678.2734375,21306.4296875,5,5봉경과,-1.7152830508944907,학습,롱
엔하4,SK하이닉스,000660.KS,2007-05-30 00:00:00+09:00,기존방식(MA50복귀or5봉),21008.958984375,22979.71484375,5,5봉경과,9.38054979706853,학습,롱
엔하4,SK하이닉스,000660.KS,2007-10-16 00:00:00+09:00,기존방식(MA50복귀or5봉),19856.2578125,18703.552734375,5,5봉경과,-5.805248345432662,학습,롱
엔하4,SK하이닉스,000660.KS,2007-11-08 00:00:00+09:00,기존방식(MA50복귀or5봉),17402.115234375,17625.216796875,5,5봉경과,1.282037036849979,학습,롱
엔하4,SK하이닉스,000660.KS,2008-07-01 00:00:00+09:00,기존방식(MA50복귀or5봉),18881.837890625,17420.517578125,5,5봉경과,-7.73929063984581,학습,롱
엔하4,SK하이닉스,000660.KS,2008-07-30 00:00:00+09:00,기존방식(MA50복귀or5봉),16228.390625,17228.23828125,5,5봉경과,6.16110173432555,학습,롱
엔하4,SK하이닉스,000660.KS,2008-09-01 00:00:00+09:00,기존방식(MA50복귀or5봉),13228.826171875,15305.44140625,5,5봉경과,15.697653044908588,학습,롱
엔하4,SK하이닉스,000660.KS,2008-09-05 00:00:00+09:00,기존방식(MA50복귀or5봉),13305.7373046875,15689.998046875,5,5봉경과,17.919042647471663,학습,롱
엔하4,SK하이닉스,000660.KS,2008-10-10 00:00:00+09:00,기존방식(MA50복귀or5봉),11690.591796875,11459.8564453125,5,5봉경과,-1.9736841006130899,학습,롱
