종목,타임프레임,구간,표본수,5봉이내복귀확률(%),10봉이내복귀확률(%),20봉이내복귀확률(%),50봉이내복귀확률(%),평균복귀봉수,중앙값복귀봉수,평균가격변동폭
나스닥100선물(NQ=F),4분봉,0~0.5%,507,73.37278106508876,83.23471400394477,91.12426035502959,99.40828402366864,5.9604743083003955,2.0,32.54891304347826
나스닥100선물(NQ=F),4분봉,0.5~1%,15,0.0,6.666666666666667,40.0,86.66666666666667,28.933333333333334,26.0,100.28333333333333
나스닥100선물(NQ=F),4분봉,1~1.5%,1,0.0,0.0,0.0,0.0,57.0,57.0,73.25
삼성전자(005930.KS),일봉,0~0.5%,65,100.0,100.0,100.0,100.0,1.0461538461538462,1.0,414.56884014423076
삼성전자(005930.KS),일봉,0.5~1%,52,100.0,100.0,100.0,100.0,1.3076923076923077,1.0,531.1370427058293
삼성전자(005930.KS),일봉,1~1.5%,35,100.0,100.0,100.0,100.0,1.5142857142857142,1.0,645.1102957589286
삼성전자(005930.KS),일봉,1.5~2%,44,97.72727272727273,100.0,100.0,100.0,2.25,2.0,638.0566683682529
삼성전자(005930.KS),일봉,2~2.5%,30,93.33333333333333,100.0,100.0,100.0,2.7333333333333334,2.0,861.3517903645833
삼성전자(005930.KS),일봉,2.5~3%,29,93.10344827586206,96.55172413793103,100.0,100.0,3.0689655172413794,2.0,1732.425436085668
삼성전자(005930.KS),일봉,3%+,227,37.88546255506608,54.62555066079295,74.8898678414097,96.91629955947137,14.097345132743364,8.0,2503.756660393909
SK하이닉스(000660.KS),일봉,0~0.5%,55,100.0,100.0,100.0,100.0,1.0727272727272728,1.0,899.5023060191761
SK하이닉스(000660.KS),일봉,0.5~1%,45,100.0,100.0,100.0,100.0,1.1555555555555554,1.0,1812.0959852430556
SK하이닉스(000660.KS),일봉,1~1.5%,30,100.0,100.0,100.0,100.0,1.3,1.0,5596.726664225261
SK하이닉스(000660.KS),일봉,1.5~2%,32,100.0,100.0,100.0,100.0,1.46875,1.0,1752.6750183105469
SK하이닉스(000660.KS),일봉,2~2.5%,24,95.83333333333334,100.0,100.0,100.0,2.125,2.0,2061.7019653320312
SK하이닉스(000660.KS),일봉,2.5~3%,22,95.45454545454545,100.0,100.0,100.0,2.0,2.0,18067.79265802557
SK하이닉스(000660.KS),일봉,3%+,242,38.429752066115704,57.438016528925615,77.27272727272727,96.28099173553719,13.012448132780083,8.0,9883.931856400739
두산에너빌리티(034020.KS),일봉,0~0.5%,45,100.0,100.0,100.0,100.0,1.0888888888888888,1.0,312.9594455295139
두산에너빌리티(034020.KS),일봉,0.5~1%,40,100.0,100.0,100.0,100.0,1.225,1.0,641.1464050292968
두산에너빌리티(034020.KS),일봉,1~1.5%,32,100.0,100.0,100.0,100.0,1.59375,1.0,977.6159057617188
두산에너빌리티(034020.KS),일봉,1.5~2%,25,96.0,100.0,100.0,100.0,1.68,1.0,1000.20111328125
두산에너빌리티(034020.KS),일봉,2~2.5%,15,100.0,100.0,100.0,100.0,1.6666666666666667,2.0,1553.0675944010416
두산에너빌리티(034020.KS),일봉,2.5~3%,11,90.9090909090909,100.0,100.0,100.0,2.909090909090909,3.0,1162.379483309659
두산에너빌리티(034020.KS),일봉,3%+,249,34.93975903614458,56.22489959839358,77.10843373493977,97.99196787148594,13.153225806451612,9.0,3393.784341135333
아모레퍼시픽(090430.KS),일봉,0~0.5%,48,100.0,100.0,100.0,100.0,1.125,1.0,2499.1307779947915
아모레퍼시픽(090430.KS),일봉,0.5~1%,46,100.0,100.0,100.0,100.0,1.1521739130434783,1.0,3540.7302989130435
아모레퍼시픽(090430.KS),일봉,1~1.5%,24,100.0,100.0,100.0,100.0,1.7083333333333333,2.0,4279.234700520833
아모레퍼시픽(090430.KS),일봉,1.5~2%,20,100.0,100.0,100.0,100.0,1.7,1.0,4537.0634765625
아모레퍼시픽(090430.KS),일봉,2~2.5%,13,100.0,100.0,100.0,100.0,1.9230769230769231,2.0,7697.707632211538
아모레퍼시픽(090430.KS),일봉,2.5~3%,13,92.3076923076923,100.0,100.0,100.0,1.8461538461538463,1.0,6334.677283653846
아모레퍼시픽(090430.KS),일봉,3%+,168,36.30952380952381,56.547619047619044,75.59523809523809,96.42857142857143,14.173652694610778,9.0,13654.831095621257
HD현대중공업(329180.KS),일봉,0~0.5%,6,100.0,100.0,100.0,100.0,1.0,1.0,5035.932291666667
HD현대중공업(329180.KS),일봉,0.5~1%,11,100.0,100.0,100.0,100.0,1.1818181818181819,1.0,4542.322443181818
HD현대중공업(329180.KS),일봉,1~1.5%,2,100.0,100.0,100.0,100.0,1.0,1.0,4337.5625
HD현대중공업(329180.KS),일봉,1.5~2%,6,100.0,100.0,100.0,100.0,1.5,1.5,4658.100260416667
HD현대중공업(329180.KS),일봉,2~2.5%,1,100.0,100.0,100.0,100.0,1.0,1.0,32381.4375
HD현대중공업(329180.KS),일봉,2.5~3%,2,100.0,100.0,100.0,100.0,1.5,1.5,13352.3203125
HD현대중공업(329180.KS),일봉,3%+,50,40.0,64.0,84.0,98.0,10.26530612244898,7.0,30798.33354591837
HD현대일렉트릭(267260.KS),일봉,0~0.5%,16,100.0,100.0,100.0,100.0,1.0625,1.0,14038.718627929688
HD현대일렉트릭(267260.KS),일봉,0.5~1%,10,100.0,100.0,100.0,100.0,1.2,1.0,11256.5181640625
HD현대일렉트릭(267260.KS),일봉,1~1.5%,15,100.0,100.0,100.0,100.0,1.0666666666666667,1.0,5289.899348958334
HD현대일렉트릭(267260.KS),일봉,1.5~2%,9,100.0,100.0,100.0,100.0,1.2222222222222223,1.0,11099.495442708334
HD현대일렉트릭(267260.KS),일봉,2~2.5%,5,100.0,100.0,100.0,100.0,2.0,1.0,23079.10078125
HD현대일렉트릭(267260.KS),일봉,2.5~3%,7,85.71428571428571,100.0,100.0,100.0,2.2857142857142856,1.0,3929.9786551339284
HD현대일렉트릭(267260.KS),일봉,3%+,94,50.0,69.14893617021278,82.97872340425532,97.87234042553192,10.516129032258064,5.0,28495.152385752688
에이피알(278470.KS),일봉,0~0.5%,6,100.0,100.0,100.0,100.0,1.0,1.0,5899.501953125
에이피알(278470.KS),일봉,0.5~1%,6,100.0,100.0,100.0,100.0,1.0,1.0,3942.7467447916665
에이피알(278470.KS),일봉,1~1.5%,3,100.0,100.0,100.0,100.0,1.0,1.0,17780.203125
에이피알(278470.KS),일봉,1.5~2%,3,66.66666666666666,100.0,100.0,100.0,2.6666666666666665,1.0,8649.893229166666
에이피알(278470.KS),일봉,2~2.5%,1,100.0,100.0,100.0,100.0,1.0,1.0,1547.40234375
에이피알(278470.KS),일봉,3%+,27,55.55555555555556,77.77777777777779,88.88888888888889,92.5925925925926,10.76923076923077,5.0,26431.445162259617
