종목,타임프레임,극값시각,방향,이격도(%),MA간격(%),체제,극값가격,복귀시각,복귀봉수,복귀가격,가격변동폭,복귀여부
나스닥100선물(NQ=F),4분봉,2026-08-12 05:20:00-04:00,양의극값(고점),0.2697430685508969,0.1171597728592528,좁음(횡보 추정),29834.5,2026-08-12 07:16:00-04:00,29.0,29808.0,-26.5,True
나스닥100선물(NQ=F),4분봉,2026-08-12 07:16:00-04:00,음의극값(저점),-0.010013087457528096,0.06001143538195541,좁음(횡보 추정),29808.0,2026-08-12 07:24:00-04:00,2.0,29812.75,4.75,True
나스닥100선물(NQ=F),4분봉,2026-08-12 09:24:00-04:00,양의극값(고점),0.41951217224983045,0.15112117190118343,좁음(횡보 추정),29983.75,2026-08-12 10:32:00-04:00,17.0,29882.5,-101.25,True
나스닥100선물(NQ=F),4분봉,2026-08-12 10:32:00-04:00,음의극값(저점),-0.002426110301008492,0.1014365082751276,좁음(횡보 추정),29882.5,2026-08-12 10:36:00-04:00,1.0,29921.25,38.75,True
나스닥100선물(NQ=F),4분봉,2026-08-12 10:36:00-04:00,양의극값(고점),0.11965672973740231,0.08711585455015076,좁음(횡보 추정),29921.25,2026-08-12 10:48:00-04:00,3.0,29874.25,-47.0,True
나스닥100선물(NQ=F),4분봉,2026-08-12 11:36:00-04:00,음의극값(저점),-0.2129018878527229,-0.07174776896215172,좁음(횡보 추정),29832.75,2026-08-12 12:36:00-04:00,15.0,29885.0,52.25,True
나스닥100선물(NQ=F),4분봉,2026-08-12 13:04:00-04:00,양의극값(고점),0.14505821406361857,-0.011622396131423459,좁음(횡보 추정),29921.0,2026-08-12 14:56:00-04:00,28.0,29889.75,-31.25,True
나스닥100선물(NQ=F),4분봉,2026-08-12 14:56:00-04:00,음의극값(저점),-0.005971590284673753,0.05566793408233943,좁음(횡보 추정),29889.75,2026-08-12 15:04:00-04:00,2.0,29898.25,8.5,True
나스닥100선물(NQ=F),4분봉,2026-08-12 15:04:00-04:00,양의극값(고점),0.015354426323174028,0.04056880288328257,좁음(횡보 추정),29898.25,2026-08-12 15:08:00-04:00,1.0,29883.5,-14.75,True
나스닥100선물(NQ=F),4분봉,2026-08-12 18:32:00-04:00,음의극값(저점),-0.2290160850593899,-0.13856871730391002,좁음(횡보 추정),29783.25,2026-08-12 20:00:00-04:00,22.0,29846.75,63.5,True
나스닥100선물(NQ=F),4분봉,2026-08-12 20:20:00-04:00,양의극값(고점),0.15629769008112904,0.017608645341758652,좁음(횡보 추정),29861.5,2026-08-12 21:28:00-04:00,17.0,29816.75,-44.75,True
나스닥100선물(NQ=F),4분봉,2026-08-12 21:28:00-04:00,음의극값(저점),-0.006120346126535985,0.06476667647598854,좁음(횡보 추정),29816.75,2026-08-12 21:32:00-04:00,1.0,29836.75,20.0,True
나스닥100선물(NQ=F),4분봉,2026-08-13 01:28:00-04:00,양의극값(고점),0.1453717740460471,0.04488167353418698,좁음(횡보 추정),29922.0,2026-08-13 02:00:00-04:00,8.0,29877.25,-44.75,True
나스닥100선물(NQ=F),4분봉,2026-08-13 02:00:00-04:00,음의극값(저점),-0.026166912106947413,0.052300362689466744,좁음(횡보 추정),29877.25,2026-08-13 02:12:00-04:00,3.0,29889.0,11.75,True
나스닥100선물(NQ=F),4분봉,2026-08-13 02:20:00-04:00,양의극값(고점),0.0451195517555741,0.0454123185912195,좁음(횡보 추정),29900.75,2026-08-13 02:32:00-04:00,3.0,29884.0,-16.75,True
나스닥100선물(NQ=F),4분봉,2026-08-13 02:44:00-04:00,음의극값(저점),-0.09371651039998448,0.012847961440056217,좁음(횡보 추정),29860.0,2026-08-13 02:56:00-04:00,3.0,29888.5,28.5,True
나스닥100선물(NQ=F),4분봉,2026-08-13 02:56:00-04:00,양의극값(고점),0.0016394534129291335,-0.007352446683464036,좁음(횡보 추정),29888.5,2026-08-13 03:00:00-04:00,1.0,29862.5,-26.0,True
나스닥100선물(NQ=F),4분봉,2026-08-13 04:00:00-04:00,음의극값(저점),-0.1752843099460327,-0.06527148655016189,좁음(횡보 추정),29830.5,2026-08-13 04:48:00-04:00,12.0,29872.75,42.25,True
