종목,타임프레임,체제,표본수,20봉이내복귀확률(%),평균복귀봉수,중앙값복귀봉수,평균가격변동폭
나스닥100선물(NQ=F),4분봉,좁음(횡보 추정),519,89.98073217726397,6.4903474903474905,2.0,34.22779922779923
나스닥100선물(NQ=F),4분봉,중간,4,25.0,36.25,37.0,79.3125
삼성전자(005930.KS),일봉,좁음(횡보 추정),55,96.36363636363636,3.0925925925925926,2.0,835.3017306857639
삼성전자(005930.KS),일봉,중간,83,95.18072289156626,3.819277108433735,2.0,967.916842173381
삼성전자(005930.KS),일봉,넓음(추세 추정),344,85.17441860465115,9.188953488372093,3.0,1807.284766973451
SK하이닉스(000660.KS),일봉,좁음(횡보 추정),26,96.15384615384616,4.0,1.5,2342.921086237981
SK하이닉스(000660.KS),일봉,중간,58,98.27586206896551,4.241379310344827,2.0,4144.023479593211
SK하이닉스(000660.KS),일봉,넓음(추세 추정),366,85.51912568306011,8.432876712328767,2.0,7897.903834680009
두산에너빌리티(034020.KS),일봉,좁음(횡보 추정),19,94.73684210526315,6.2631578947368425,3.0,1900.882632606908
두산에너빌리티(034020.KS),일봉,중간,50,92.0,5.68,3.0,1550.3468896484376
두산에너빌리티(034020.KS),일봉,넓음(추세 추정),348,85.0574712643678,8.953890489913544,3.0,2478.744548698667
아모레퍼시픽(090430.KS),일봉,좁음(횡보 추정),23,95.65217391304348,3.9130434782608696,2.0,6284.549422554348
아모레퍼시픽(090430.KS),일봉,중간,49,97.95918367346938,3.4693877551020407,2.0,7233.009805484694
아모레퍼시픽(090430.KS),일봉,넓음(추세 추정),260,85.0,9.027027027027026,3.0,9421.198660714286
HD현대중공업(329180.KS),일봉,좁음(횡보 추정),3,100.0,5.666666666666667,2.0,9774.942708333334
HD현대중공업(329180.KS),일봉,중간,8,100.0,4.75,4.0,24225.728515625
HD현대중공업(329180.KS),일봉,넓음(추세 추정),67,88.05970149253731,7.303030303030303,4.0,22149.676254734848
HD현대일렉트릭(267260.KS),일봉,좁음(횡보 추정),4,100.0,6.75,6.0,36028.477294921875
HD현대일렉트릭(267260.KS),일봉,중간,16,100.0,4.0625,3.0,17266.194702148438
HD현대일렉트릭(267260.KS),일봉,넓음(추세 추정),136,88.23529411764706,7.17037037037037,2.0,21400.07504340278
에이피알(278470.KS),일봉,좁음(횡보 추정),2,100.0,3.0,3.0,13717.369140625
에이피알(278470.KS),일봉,중간,7,100.0,5.428571428571429,5.0,14681.42075892857
에이피알(278470.KS),일봉,넓음(추세 추정),37,91.8918918918919,7.222222222222222,1.0,19358.44650607639
