종목,파동수,시퀀스개수
삼성전자(005930.KS),1개,323
삼성전자(005930.KS),2개,41
삼성전자(005930.KS),3개,27
삼성전자(005930.KS),4개 이상,33
SK하이닉스(000660.KS),1개,270
SK하이닉스(000660.KS),2개,58
SK하이닉스(000660.KS),3개,27
SK하이닉스(000660.KS),4개 이상,26
두산에너빌리티(034020.KS),1개,264
두산에너빌리티(034020.KS),2개,45
두산에너빌리티(034020.KS),3개,28
두산에너빌리티(034020.KS),4개 이상,21
테크윙(089030.KQ),1개,150
테크윙(089030.KQ),2개,21
테크윙(089030.KQ),3개,11
테크윙(089030.KQ),4개 이상,19
아모레퍼시픽(090430.KS),1개,219
아모레퍼시픽(090430.KS),2개,20
아모레퍼시픽(090430.KS),3개,21
아모레퍼시픽(090430.KS),4개 이상,24
HD현대중공업(329180.KS),1개,50
HD현대중공업(329180.KS),2개,7
HD현대중공업(329180.KS),3개,2
HD현대중공업(329180.KS),4개 이상,7
HD현대일렉트릭(267260.KS),1개,100
HD현대일렉트릭(267260.KS),2개,18
HD현대일렉트릭(267260.KS),3개,9
HD현대일렉트릭(267260.KS),4개 이상,6
에이피알(278470.KS),1개,31
에이피알(278470.KS),2개,4
에이피알(278470.KS),4개 이상,2
대한광통신(010170.KQ),1개,239
대한광통신(010170.KQ),2개,41
대한광통신(010170.KQ),3개,25
대한광통신(010170.KQ),4개 이상,35
