종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간
HD현대일렉트릭,267260.KS,2017-09-08 00:00:00+09:00,엔하5터치,롱,44270.25390625,47138.73046875,5,5봉경과,6.479467157731918,118.9191868875848,True,학습
HD현대일렉트릭,267260.KS,2018-03-23 00:00:00+09:00,엔하5터치,롱,31108.2890625,33592.0625,5,5봉경과,7.984281721536739,73.32471343971868,True,학습
HD현대일렉트릭,267260.KS,2018-04-10 00:00:00+09:00,엔하5터치,롱,30293.9296875,31271.158203125,5,5봉경과,3.2258228816984014,36.190041827552314,True,학습
HD현대일렉트릭,267260.KS,2018-05-15 00:00:00+09:00,엔상5터치,숏,42346.36328125,35790.8203125,5,5봉경과,15.480769683125645,-114.42746310305671,True,학습
HD현대일렉트릭,267260.KS,2018-07-23 00:00:00+09:00,엔하5터치,롱,22883.3203125,26832.931640625,5,5봉경과,17.25978255859805,105.9522760145849,True,학습
HD현대일렉트릭,267260.KS,2018-11-01 00:00:00+09:00,엔하5터치,롱,18078.63671875,16551.724609375,5,5봉경과,-8.445947186888185,5.453877155803738,True,학습
HD현대일렉트릭,267260.KS,2018-11-06 00:00:00+09:00,엔하5터치,롱,18160.072265625,18058.28125,5,5봉경과,-0.5605209832654636,144.37305969945976,True,학습
HD현대일렉트릭,267260.KS,2019-02-01 00:00:00+09:00,엔상5터치,숏,25489.251953125,25326.380859375,5,5봉경과,0.638979496336423,-87.10151163487063,True,학습
HD현대일렉트릭,267260.KS,2019-02-13 00:00:00+09:00,엔상5터치,숏,25326.380859375,26303.60546875,5,5봉경과,-3.858524495864806,102.13318365100045,False,학습
HD현대일렉트릭,267260.KS,2019-02-15 00:00:00+09:00,엔상5터치,숏,25529.96875,26588.626953125,5,5봉경과,-4.14672737554761,35.10806847054662,False,학습
HD현대일렉트릭,267260.KS,2019-05-08 00:00:00+09:00,엔하5터치,롱,17345.71875,15798.451171875,5,5봉경과,-8.920169872609057,0.2655466403860913,True,학습
HD현대일렉트릭,267260.KS,2019-08-02 00:00:00+09:00,엔하5터치,롱,10464.4365234375,9853.671875,5,5봉경과,-5.836574640875816,81.76460786307098,True,학습
HD현대일렉트릭,267260.KS,2020-01-10 00:00:00+09:00,엔상5터치,숏,12073.6142578125,11170.4697265625,5,5봉경과,7.480316266238176,-9.838025875421394,False,학습
HD현대일렉트릭,267260.KS,2020-03-13 00:00:00+09:00,엔하5터치,롱,6464.61181640625,5865.68408203125,5,5봉경과,-9.264713046729396,-1.9377489719278174,False,학습
HD현대일렉트릭,267260.KS,2020-07-28 00:00:00+09:00,엔상5터치,숏,9554.31640625,11835.9443359375,5,5봉경과,-23.880598387917765,24.50331934633118,False,학습
HD현대일렉트릭,267260.KS,2020-09-04 00:00:00+09:00,엔상5터치,숏,15068.2490234375,17920.283203125,5,5봉경과,-18.92744256649449,-13.115136887509578,True,학습
HD현대일렉트릭,267260.KS,2021-05-11 00:00:00+09:00,엔상5터치,숏,23244.08203125,21770.53125,5,5봉경과,6.339466446852652,-134.0307366621805,True,학습
HD현대일렉트릭,267260.KS,2022-01-25 00:00:00+09:00,엔하5터치,롱,16684.40234375,18253.021484375,5,5봉경과,9.401710102085897,103.3238621454539,True,학습
HD현대일렉트릭,267260.KS,2022-01-27 00:00:00+09:00,엔하5터치,롱,15115.7841796875,18205.48828125,5,5봉경과,20.440250170510012,140.12446682253818,True,학습
HD현대일렉트릭,267260.KS,2022-04-13 00:00:00+09:00,엔상5터치,숏,20914.919921875,21009.9921875,5,5봉경과,-0.45456672069570553,-72.63245773478486,True,학습
HD현대일렉트릭,267260.KS,2022-05-03 00:00:00+09:00,엔상5터치,숏,22863.810546875,22673.677734375,5,5봉경과,0.8315884708290111,-84.91361449948445,True,학습
HD현대일렉트릭,267260.KS,2023-04-17 00:00:00+09:00,엔상5터치,숏,48095.77734375,48576.734375,5,5봉경과,-0.9999984568551732,-76.06841408681908,True,학습
HD현대일렉트릭,267260.KS,2023-04-21 00:00:00+09:00,엔상5터치,숏,49057.69921875,48672.92578125,5,5봉경과,0.7843283391344583,-35.16783236782724,True,학습
HD현대일렉트릭,267260.KS,2023-07-03 00:00:00+09:00,엔상5터치,숏,62235.9375,65795.015625,5,5봉경과,-5.718686450252316,-47.67878325168315,True,학습
HD현대일렉트릭,267260.KS,2023-07-10 00:00:00+09:00,엔상5터치,숏,65795.015625,66083.59375,5,5봉경과,-0.4386018032805961,-88.89852390150554,True,학습
HD현대일렉트릭,267260.KS,2023-07-25 00:00:00+09:00,엔상5터치,숏,77530.390625,70893.171875,5,5봉경과,8.560796220030653,0.12586237273794865,False,학습
HD현대일렉트릭,267260.KS,2024-02-15 00:00:00+09:00,엔상5터치,숏,113871.3125,124975.953125,5,5봉경과,-9.751921165394489,15.129550457432899,False,검증
HD현대일렉트릭,267260.KS,2024-03-04 00:00:00+09:00,엔상5터치,숏,128190.46875,128580.1015625,5,5봉경과,-0.30394834834395595,59.68649894491436,False,검증
HD현대일렉트릭,267260.KS,2024-03-14 00:00:00+09:00,엔상5터치,숏,152250.515625,158387.3125,5,5봉경과,-4.030723212862682,-13.79578612910008,True,검증
HD현대일렉트릭,267260.KS,2024-03-22 00:00:00+09:00,엔상5터치,숏,162186.25,174752.0625,5,5봉경과,-7.747766842133657,-18.11077930429075,True,검증
HD현대일렉트릭,267260.KS,2025-06-10 00:00:00+09:00,엔상5터치,숏,424595.03125,465126.8125,5,5봉경과,-9.545985766878896,16.757414163770882,False,검증
HD현대일렉트릭,267260.KS,2025-09-12 00:00:00+09:00,엔상5터치,숏,590523.125,580598.4375,5,5봉경과,1.6806602620346154,-91.40367881402341,True,검증
HD현대일렉트릭,267260.KS,2025-09-17 00:00:00+09:00,엔상5터치,숏,583575.8125,582583.375,5,5봉경과,0.17006145195573882,-64.46388019505147,True,검증
HD현대일렉트릭,267260.KS,2025-09-23 00:00:00+09:00,엔상5터치,숏,589530.625,577621.0,5,5봉경과,2.0201876704878563,-2.79559970998422,False,검증
HD현대일렉트릭,267260.KS,2025-10-10 00:00:00+09:00,엔상5터치,숏,655034.0625,661981.5,5,5봉경과,-1.0606223245069795,-34.99841887092006,True,검증
HD현대일렉트릭,267260.KS,2026-04-27 00:00:00+09:00,엔상5터치,숏,1302533.375,1385313.0,5,5봉경과,-6.355278612342659,-4.492504415071224,True,검증
HD현대일렉트릭,267260.KS,2026-05-06 00:00:00+09:00,엔상5터치,숏,1385313.0,1277822.0,5,5봉경과,7.759329480052522,-69.01960618522295,False,검증
HD현대중공업,329180.KS,2022-04-13 00:00:00+09:00,엔상5터치,숏,132464.640625,144595.09375,5,5봉경과,-9.15750276282456,20.508070295680945,False,학습
HD현대중공업,329180.KS,2023-07-14 00:00:00+09:00,엔상5터치,숏,143430.578125,138384.328125,5,5봉경과,3.5182525692688658,-87.96512589210398,True,학습
HD현대중공업,329180.KS,2024-07-17 00:00:00+09:00,엔상5터치,숏,166138.8125,170311.671875,5,5봉경과,-2.5116703991127904,-5.791112342194765,True,학습
HD현대중공업,329180.KS,2024-07-25 00:00:00+09:00,엔상5터치,숏,172252.5625,207673.515625,5,5봉경과,-20.56338240251143,-16.758121677520677,True,학습
HD현대중공업,329180.KS,2024-11-19 00:00:00+09:00,엔상5터치,숏,217863.109375,221744.84375,5,5봉경과,-1.7817309163243922,-74.34230520777999,True,학습
HD현대중공업,329180.KS,2024-12-26 00:00:00+09:00,엔상5터치,숏,289190.1875,278030.1875,5,5봉경과,3.859052098716178,-87.18798599068344,True,학습
HD현대중공업,329180.KS,2025-01-03 00:00:00+09:00,엔상5터치,숏,277059.75,304717.1875,5,5봉경과,-9.982481215694449,26.327097533473676,False,학습
HD현대중공업,329180.KS,2025-01-10 00:00:00+09:00,엔상5터치,숏,304717.1875,300835.4375,5,5봉경과,1.2738861341715422,-50.59573836168677,True,학습
HD현대중공업,329180.KS,2025-02-13 00:00:00+09:00,엔상5터치,숏,355179.9375,296468.46875,5,5봉경과,16.530063371048374,-120.5771526027084,True,학습
HD현대중공업,329180.KS,2025-04-25 00:00:00+09:00,엔상5터치,숏,393886.1875,406103.5,5,5봉경과,-3.101736716776848,-10.363796711233825,True,검증
HD현대중공업,329180.KS,2025-05-07 00:00:00+09:00,엔상5터치,숏,406103.5,406592.1875,5,5봉경과,-0.12033570259798303,-37.50382984118925,True,검증
HD현대중공업,329180.KS,2025-10-27 00:00:00+09:00,엔상5터치,숏,612304.25,595622.875,5,5봉경과,2.7243604792878706,-46.393186587743585,True,검증
HD현대중공업,329180.KS,2025-10-30 00:00:00+09:00,엔상5터치,숏,582866.5,515159.8125,5,5봉경과,11.616156958754706,-107.27876477244702,True,검증
SK하이닉스,000660.KS,2000-05-30 00:00:00+09:00,엔상5터치,숏,-123076.3203125,-171951.421875,5,5봉경과,-39.71121450365306,143.20698924740054,False,학습
SK하이닉스,000660.KS,2000-10-16 00:00:00+09:00,엔상5터치,숏,-99971.7421875,-68513.96875,5,5봉경과,31.466665228760345,4.883510982053423,False,학습
SK하이닉스,000660.KS,2000-11-08 00:00:00+09:00,엔상5터치,숏,-65314.87109375,-65670.3203125,5,5봉경과,-0.544208712040179,-12.206381641098496,True,학습
SK하이닉스,000660.KS,2000-12-21 00:00:00+09:00,엔상5터치,숏,-35190.046875,-35767.66015625,5,5봉경과,-1.6414109458329613,158.6870778413861,False,학습
SK하이닉스,000660.KS,2001-03-14 00:00:00+09:00,엔상5터치,숏,-30440.560546875,-30339.11328125,5,5봉경과,0.33326346099567633,18.46883606081925,False,학습
SK하이닉스,000660.KS,2001-07-06 00:00:00+09:00,엔상5터치,숏,-23489.96875,-19177.564453125,5,5봉경과,18.358493120068538,10.83013856268947,False,학습
SK하이닉스,000660.KS,2001-08-29 00:00:00+09:00,엔상5터치,숏,-9487.3115234375,-9943.919921875,5,5봉경과,-4.812832353080137,156.47868698556363,False,학습
SK하이닉스,000660.KS,2001-11-12 00:00:00+09:00,엔하5터치,롱,-16082.7685546875,-19583.43359375,5,5봉경과,21.766557338426615,121.29635757942668,True,학습
SK하이닉스,000660.KS,2001-11-22 00:00:00+09:00,엔하5터치,롱,-19634.1640625,-20801.0546875,5,5봉경과,5.94316427878224,60.17344248176366,True,학습
SK하이닉스,000660.KS,2001-11-30 00:00:00+09:00,엔하5터치,롱,-21765.001953125,-28918.544921875,5,5봉경과,32.867182755859574,18.609610905387328,False,학습
SK하이닉스,000660.KS,2001-12-27 00:00:00+09:00,엔하5터치,롱,-30855.630859375,-36973.546875,5,5봉경과,19.827551228842133,5.312529956928429,False,학습
SK하이닉스,000660.KS,2002-04-29 00:00:00+09:00,엔상5터치,숏,-11969.853515625,-9376.3857421875,5,5봉경과,21.666662587408307,-18.206735803531615,False,학습
SK하이닉스,000660.KS,2002-05-01 00:00:00+09:00,엔상5터치,숏,-12701.345703125,-9442.884765625,5,5봉경과,25.654454367762767,-5.041055693585946,False,학습
SK하이닉스,000660.KS,2002-06-05 00:00:00+09:00,엔상5터치,숏,-6051.4248046875,-4787.94140625,5,5봉경과,20.87910598275619,4.169187975943771,False,학습
SK하이닉스,000660.KS,2002-10-10 00:00:00+09:00,엔상5터치,숏,-3723.954345703125,-5319.93505859375,5,5봉경과,-42.857150349658376,162.67373048379545,False,학습
SK하이닉스,000660.KS,2002-12-27 00:00:00+09:00,엔상5터치,숏,3429.451416015625,3970.943603515625,5,5봉경과,-15.789469562718333,150.6859077376846,False,학습
SK하이닉스,000660.KS,2003-06-13 00:00:00+09:00,엔상5터치,숏,3197.382568359375,3621.408447265625,5,5봉경과,-13.261656052745169,-9.260266568462868,True,학습
