밴드,종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간,연도,손익률_비용반영(%)
엔하4,HD현대일렉트릭,267260.KS,2017-09-04 00:00:00+09:00,엔하4터치,롱,52780.0859375,44748.32421875,5,5봉경과,-15.21740932415472,4.760277220480816,True,학습,2017,-15.597409324154722
엔하4,HD현대일렉트릭,267260.KS,2017-09-28 00:00:00+09:00,엔하4터치,롱,46316.328125,49370.15625,5,5봉경과,6.593415861374481,80.83516012349494,True,학습,2017,6.213415861374481
엔하4,HD현대일렉트릭,267260.KS,2018-02-09 00:00:00+09:00,엔하4터치,롱,39211.1015625,39048.234375,5,5봉경과,-0.415359887914396,30.07377920343828,True,학습,2018,-0.7953598879143959
엔하4,HD현대일렉트릭,267260.KS,2018-03-02 00:00:00+09:00,엔하4터치,롱,35587.23046875,34895.03125,5,5봉경과,-1.9450775169420296,68.46508002703254,True,학습,2018,-2.3250775169420295
엔하4,HD현대일렉트릭,267260.KS,2018-03-14 00:00:00+09:00,엔하4터치,롱,33754.93359375,32981.29296875,5,5봉경과,-2.291933482408764,-91.09326899843886,False,학습,2018,-2.6719334824087637
엔하4,HD현대일렉트릭,267260.KS,2018-07-04 00:00:00+09:00,엔하4터치,롱,25489.25,24878.486328125,5,5봉경과,-2.396161801053385,31.700432154372837,True,학습,2018,-2.776161801053385
엔하4,HD현대일렉트릭,267260.KS,2018-10-31 00:00:00+09:00,엔하4터치,롱,19178.013671875,16449.93359375,5,5봉경과,-14.225039802353423,7.999502606353985,True,학습,2018,-14.605039802353424
엔하4,HD현대일렉트릭,267260.KS,2018-11-23 00:00:00+09:00,엔하4터치,롱,18037.91796875,22353.990234375,5,5봉경과,23.927774109530983,63.479996845620505,False,학습,2018,23.547774109530984
엔하4,HD현대일렉트릭,267260.KS,2019-04-25 00:00:00+09:00,엔하4터치,롱,18892.990234375,18119.353515625,5,5봉경과,-4.094834693464248,-18.71825204143129,False,학습,2019,-4.474834693464248
엔하4,HD현대일렉트릭,267260.KS,2019-05-02 00:00:00+09:00,엔하4터치,롱,18811.5546875,16775.673828125,5,5봉경과,-10.822501878208996,-50.187726557935896,False,학습,2019,-11.202501878208997
엔하4,HD현대일렉트릭,267260.KS,2019-07-26 00:00:00+09:00,엔하4터치,롱,11604.53125,10464.4375,5,5봉경과,-9.824556679098952,3.484800937277413,True,학습,2019,-10.204556679098953
엔하4,HD현대일렉트릭,267260.KS,2019-08-23 00:00:00+09:00,엔하4터치,롱,10057.259765625,10342.283203125,5,5봉경과,2.8340069178106533,-25.245071183817466,False,학습,2019,2.4540069178106534
엔하4,HD현대일렉트릭,267260.KS,2020-03-13 00:00:00+09:00,엔하4터치,롱,6464.6123046875,5865.6845703125,5,5봉경과,-9.264712346952605,-1.9377511207102884,False,학습,2020,-9.644712346952605
엔하4,HD현대일렉트릭,267260.KS,2022-01-25 00:00:00+09:00,엔하4터치,롱,16684.3984375,18253.021484375,5,5봉경과,9.401735715861047,103.3238406711841,True,학습,2022,9.021735715861047
엔하4,HD현대일렉트릭,267260.KS,2025-04-07 00:00:00+09:00,엔하4터치,롱,261973.625,303494.03125,5,5봉경과,15.849078795623036,53.57214984118247,False,검증,2025,15.469078795623036
엔하4,HD현대일렉트릭,267260.KS,2026-07-29 00:00:00+09:00,엔하4터치,롱,585002.875,770686.375,5,5봉경과,31.740613240575957,154.39783063582482,True,검증,2026,31.360613240575958
엔하4,HD현대중공업,329180.KS,2023-03-08 00:00:00+09:00,엔하4터치,롱,94520.5546875,93841.2578125,5,5봉경과,-0.7186763527212293,52.55472104668205,True,학습,2023,-1.0986763527212293
엔하4,HD현대중공업,329180.KS,2023-03-10 00:00:00+09:00,엔하4터치,롱,92094.4609375,92870.8203125,5,5봉경과,0.8430033327703358,38.50540182478005,True,학습,2023,0.4630033327703358
엔하4,HD현대중공업,329180.KS,2023-10-05 00:00:00+09:00,엔하4터치,롱,108688.9375,110435.71875,5,5봉경과,1.607138030951862,91.2061696530368,True,학습,2023,1.227138030951862
엔하4,HD현대중공업,329180.KS,2023-10-24 00:00:00+09:00,엔하4터치,롱,105777.625,99081.6171875,5,5봉경과,-6.3302686295896695,-6.6905802450681335,False,학습,2023,-6.710268629589669
엔하4,HD현대중공업,329180.KS,2023-10-31 00:00:00+09:00,엔하4터치,롱,99081.6171875,110532.765625,5,5봉경과,11.557288589496965,103.302230256703,True,학습,2023,11.177288589496964
엔하4,HD현대중공업,329180.KS,2026-07-29 00:00:00+09:00,엔하4터치,롱,428745.40625,502837.34375,5,5봉경과,17.281103522027532,109.78930462976297,True,검증,2026,16.901103522027533
엔하4,SK하이닉스,000660.KS,2001-05-14 00:00:00+09:00,엔하4터치,롱,-47081.421875,-42058.71875,5,5봉경과,-10.66812115049361,-109.51896029567853,False,학습,2001,-11.04812115049361
엔하4,SK하이닉스,000660.KS,2001-11-12 00:00:00+09:00,엔하4터치,롱,-16082.767578125,-19583.43359375,5,5봉경과,21.76656473221957,121.2963620560771,True,학습,2001,21.386564732219572
엔하4,SK하이닉스,000660.KS,2001-12-27 00:00:00+09:00,엔하4터치,롱,-30855.626953125,-36973.54296875,5,5봉경과,19.82755373896361,5.312568383113998,False,학습,2001,19.44755373896361
엔하4,SK하이닉스,000660.KS,2003-03-10 00:00:00+09:00,엔하4터치,롱,2045.6375732421875,1744.8084716796875,5,5봉경과,-14.705884634574227,4.125368803359962,True,학습,2003,-15.085884634574228
엔하4,SK하이닉스,000660.KS,2003-03-17 00:00:00+09:00,엔하4터치,롱,1744.8084716796875,1865.1402587890625,5,5봉경과,6.896561374070721,79.82449447569394,True,학습,2003,6.516561374070721
