종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간,이격도(%),이격도크기,이격도구간
HD현대일렉트릭,267260.KS,2017-09-08 00:00:00+09:00,엔하5터치,롱,44270.25390625,47138.73046875,5,5봉경과,6.479467157731918,118.9191868875848,True,학습,-24.07345817025199,24.07345817025199,중간
HD현대일렉트릭,267260.KS,2018-03-23 00:00:00+09:00,엔하5터치,롱,31108.2890625,33592.0625,5,5봉경과,7.984281721536739,73.32471343971868,True,학습,-25.56072523187311,25.56072523187311,중간
HD현대일렉트릭,267260.KS,2018-04-10 00:00:00+09:00,엔하5터치,롱,30293.9296875,31271.158203125,5,5봉경과,3.2258228816984014,36.19004182755232,True,학습,-20.412492623586036,20.412492623586036,중간
HD현대일렉트릭,267260.KS,2018-07-23 00:00:00+09:00,엔하5터치,롱,22883.3203125,26832.931640625,5,5봉경과,17.25978255859805,105.9522760145849,True,학습,-27.330094603374462,27.330094603374462,큼
HD현대일렉트릭,267260.KS,2018-11-01 00:00:00+09:00,엔하5터치,롱,18078.63671875,16551.724609375,5,5봉경과,-8.445947186888185,5.453877155803738,True,학습,-30.789380285732957,30.789380285732957,큼
HD현대일렉트릭,267260.KS,2018-11-06 00:00:00+09:00,엔하5터치,롱,18160.072265625,18058.28125,5,5봉경과,-0.5605209832654636,144.37305969945976,True,학습,-29.216465032234545,29.216465032234545,큼
HD현대일렉트릭,267260.KS,2019-05-08 00:00:00+09:00,엔하5터치,롱,17345.71875,15798.451171875,5,5봉경과,-8.920169872609057,0.2655466403860913,True,학습,-18.183918928051217,18.183918928051217,작음
HD현대일렉트릭,267260.KS,2019-08-02 00:00:00+09:00,엔하5터치,롱,10464.4365234375,9853.671875,5,5봉경과,-5.836574640875816,81.76460786307098,True,학습,-25.36446096221432,25.36446096221432,중간
HD현대일렉트릭,267260.KS,2020-03-13 00:00:00+09:00,엔하5터치,롱,6464.61181640625,5865.68408203125,5,5봉경과,-9.264713046729396,-1.9377489719278171,False,학습,-34.18379118061629,34.18379118061629,큼
HD현대일렉트릭,267260.KS,2022-01-25 00:00:00+09:00,엔하5터치,롱,16684.40234375,18253.021484375,5,5봉경과,9.401710102085897,103.3238621454539,True,학습,-18.90768814568162,18.90768814568162,중간
HD현대일렉트릭,267260.KS,2022-01-27 00:00:00+09:00,엔하5터치,롱,15115.7841796875,18205.48828125,5,5봉경과,20.44025017051001,140.12446682253818,True,학습,-25.446616448133803,25.446616448133803,중간
SK하이닉스,000660.KS,2001-11-12 00:00:00+09:00,엔하5터치,롱,-16082.7685546875,-19583.43359375,5,5봉경과,21.766557338426612,121.29635757942668,True,학습,51.4861667978187,51.4861667978187,큼
SK하이닉스,000660.KS,2001-11-22 00:00:00+09:00,엔하5터치,롱,-19634.1640625,-20801.0546875,5,5봉경과,5.94316427878224,60.17344248176366,True,학습,68.04164973361956,68.04164973361956,큼
SK하이닉스,000660.KS,2001-11-30 00:00:00+09:00,엔하5터치,롱,-21765.001953125,-28918.544921875,5,5봉경과,32.867182755859574,18.609610905387328,False,학습,67.34279720111932,67.34279720111932,큼
SK하이닉스,000660.KS,2001-12-27 00:00:00+09:00,엔하5터치,롱,-30855.630859375,-36973.546875,5,5봉경과,19.827551228842133,5.312529956928429,False,학습,65.96848027249459,65.96848027249459,큼
