종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간,구름상태,피보4,피보5,조건1_양운,조건2_피보골든크로스,조건3_양운and골든크로스
HD현대일렉트릭,267260.KS,2017-09-08 00:00:00+09:00,엔하5터치,롱,44270.25390625,47138.73046875,5,5봉경과,6.479467157731918,118.9191868875848,True,학습,음운,48643.48920898438,50714.68079552284,False,False,False
HD현대일렉트릭,267260.KS,2018-03-23 00:00:00+09:00,엔하5터치,롱,31108.2890625,33592.0625,5,5봉경과,7.984281721536739,73.32471343971868,True,학습,음운,32735.46684570313,33403.54884690505,False,False,False
HD현대일렉트릭,267260.KS,2018-04-10 00:00:00+09:00,엔하5터치,롱,30293.9296875,31271.158203125,5,5봉경과,3.2258228816984014,36.19004182755232,True,학습,음운,31557.19921875,32112.525240384617,False,False,False
HD현대일렉트릭,267260.KS,2018-07-23 00:00:00+09:00,엔하5터치,롱,22883.3203125,26832.931640625,5,5봉경과,17.25978255859805,105.9522760145849,True,학습,음운,23693.09365234375,24037.31434044471,False,False,False
HD현대일렉트릭,267260.KS,2018-11-01 00:00:00+09:00,엔하5터치,롱,18078.63671875,16551.724609375,5,5봉경과,-8.445947186888185,5.453877155803738,True,학습,음운,22515.33498535156,24260.86967585637,False,False,False
HD현대일렉트릭,267260.KS,2018-11-06 00:00:00+09:00,엔하5터치,롱,18160.072265625,18058.28125,5,5봉경과,-0.5605209832654636,144.37305969945976,True,학습,음운,19527.421875,21692.035381610574,False,False,False
HD현대일렉트릭,267260.KS,2019-05-08 00:00:00+09:00,엔하5터치,롱,17345.71875,15798.451171875,5,5봉경과,-8.920169872609057,0.2655466403860913,True,학습,음운,18355.008984375,18728.35877403846,False,False,False
HD현대일렉트릭,267260.KS,2019-08-02 00:00:00+09:00,엔하5터치,롱,10464.4365234375,9853.671875,5,5봉경과,-5.836574640875816,81.76460786307098,True,학습,음운,11197.863391113282,11711.21916785607,False,False,False
HD현대일렉트릭,267260.KS,2020-03-13 00:00:00+09:00,엔하5터치,롱,6464.61181640625,5865.68408203125,5,5봉경과,-9.264713046729396,-1.9377489719278171,False,학습,음운,7988.905120849609,8262.99289879432,False,False,False
HD현대일렉트릭,267260.KS,2022-01-25 00:00:00+09:00,엔하5터치,롱,16684.40234375,18253.021484375,5,5봉경과,9.401710102085897,103.3238621454539,True,학습,음운,18296.39604492188,18620.72323843149,False,False,False
HD현대일렉트릭,267260.KS,2022-01-27 00:00:00+09:00,엔하5터치,롱,15115.7841796875,18205.48828125,5,5봉경과,20.44025017051001,140.12446682253818,True,학습,음운,17398.598974609376,17968.274470402645,False,False,False
SK하이닉스,000660.KS,2001-11-12 00:00:00+09:00,엔하5터치,롱,-16082.7685546875,-19583.43359375,5,5봉경과,21.766557338426612,121.29635757942668,True,학습,음운,-12928.362243652344,-12354.284531813402,False,False,False
SK하이닉스,000660.KS,2001-11-22 00:00:00+09:00,엔하5터치,롱,-19634.1640625,-20801.0546875,5,5봉경과,5.94316427878224,60.17344248176366,True,학습,음운,-18376.589575195318,-17187.456064077523,False,False,False
SK하이닉스,000660.KS,2001-11-30 00:00:00+09:00,엔하5터치,롱,-21765.001953125,-28918.544921875,5,5봉경과,32.867182755859574,18.609610905387328,False,학습,음운,-20392.64404296875,-19720.999661959133,False,False,False
SK하이닉스,000660.KS,2001-12-27 00:00:00+09:00,엔하5터치,롱,-30855.630859375,-36973.546875,5,5봉경과,19.827551228842133,5.312529956928429,False,학습,음운,-22613.12451171875,-22809.642916165867,False,True,False
SK하이닉스,000660.KS,2007-10-18 00:00:00+09:00,엔하5터치,롱,19410.048828125,17104.638671875,5,5봉경과,-11.877405238205686,-7.883324611152759,False,학습,음운,20448.411181640626,21010.747314453125,False,False,False
SK하이닉스,000660.KS,2007-10-22 00:00:00+09:00,엔하5터치,롱,18777.91796875,18852.2890625,5,5봉경과,0.3960561222696123,102.92103964262928,True,학습,음운,19761.43537597656,20388.98716383714,False,False,False
SK하이닉스,000660.KS,2008-07-07 00:00:00+09:00,엔하5터치,롱,17728.16796875,17843.529296875,5,5봉경과,0.6507233478854163,93.67871901229482,True,학습,음운,18723.2087890625,19459.787259615383,False,False,False
SK하이닉스,000660.KS,2008-07-10 00:00:00+09:00,엔하5터치,롱,17458.97265625,17074.4140625,5,5봉경과,-2.202641594792434,3.331626540787248,True,학습,음운,17811.32453613281,18498.205575796277,False,False,False
SK하이닉스,000660.KS,2008-07-16 00:00:00+09:00,엔하5터치,롱,16651.400390625,17881.978515625,5,5봉경과,7.390238034831201,59.66103139652293,True,학습,음운,17459.933642578126,17709.305307241586,False,False,False
SK하이닉스,000660.KS,2008-10-23 00:00:00+09:00,엔하5터치,롱,7998.82470703125,8268.0146484375,5,5봉경과,3.365368679346386,157.51801935641413,True,학습,음운,10899.359265136718,11643.629014235275,False,False,False
SK하이닉스,000660.KS,2011-08-18 00:00:00+09:00,엔하5터치,롱,14818.513671875,14904.669921875,5,5봉경과,0.5814095253258863,131.358146195894,True,학습,음운,17241.06394042969,18160.924682617188,False,False,False
SK하이닉스,000660.KS,2015-07-14 00:00:00+09:00,엔하5터치,롱,32818.83203125,33859.3359375,5,5봉경과,3.1704477028897164,3.450621604462168,True,학습,음운,35095.44965820313,35588.68180964544,False,False,False
SK하이닉스,000660.KS,2015-07-30 00:00:00+09:00,엔하5터치,롱,29914.1171875,31301.447265625,5,5봉경과,4.637710247069279,44.475181622069776,True,학습,음운,32281.78505859375,32829.04428335337,False,False,False
SK하이닉스,000660.KS,2020-03-13 00:00:00+09:00,엔하5터치,롱,77416.4453125,70190.8984375,5,5봉경과,-9.333348807005134,0.1847253301981197,True,검증,음운,82477.846484375,84282.42593149038,False,False,False
SK하이닉스,000660.KS,2020-03-18 00:00:00+09:00,엔하5터치,롱,68595.65625,79293.2265625,5,5봉경과,15.595113302090466,134.2296028563017,True,검증,음운,76574.25419921875,79997.90245643028,False,False,False
SK하이닉스,000660.KS,2020-08-20 00:00:00+09:00,엔하5터치,롱,67375.78125,74225.953125,5,5봉경과,10.167113090061571,120.18369245256072,True,검증,음운,73122.18291015625,74285.05352313702,False,False,False
SK하이닉스,000660.KS,2021-08-12 00:00:00+09:00,엔하5터치,롱,95272.40625,97168.3828125,5,5봉경과,1.9900584409769748,87.28706086670019,True,검증,음운,106500.0939453125,108304.90932992788,False,False,False
SK하이닉스,000660.KS,2022-09-27 00:00:00+09:00,엔하5터치,롱,79131.390625,86979.890625,5,5봉경과,9.9183142593736,131.1906379932782,True,검증,음운,82412.457421875,84438.99233774038,False,False,False
SK하이닉스,000660.KS,2024-08-05 00:00:00+09:00,엔하5터치,롱,153884.34375,174487.703125,5,5봉경과,13.388860018451355,124.55161258019108,True,검증,음운,180726.6228515625,187101.75458233172,False,False,False
대한광통신,010170.KQ,2000-09-05 00:00:00+09:00,엔하5터치,롱,22265.896484375,16434.353515625,5,5봉경과,-26.19047013374135,-139.04641280243277,False,학습,음운,35381.45109863281,35825.95347243089,False,False,False
대한광통신,010170.KQ,2001-09-14 00:00:00+09:00,엔하5터치,롱,13205.3154296875,13253.509765625,5,5봉경과,0.3649616413489981,140.49118397732747,True,학습,음운,14573.439331054688,14810.334275465746,False,False,False
대한광통신,010170.KQ,2001-12-13 00:00:00+09:00,엔하5터치,롱,10891.9755859375,9253.3603515625,5,5봉경과,-15.044242630240529,-53.383317156489085,False,학습,음운,16166.87274169922,16396.353172889125,False,False,False
대한광통신,010170.KQ,2002-01-10 00:00:00+09:00,엔하5터치,롱,8000.30078125,7759.32763671875,5,5봉경과,-3.0120510605802417,-7.708843439487438,False,학습,음운,8519.235729980468,8679.241844764123,False,False,False
대한광통신,010170.KQ,2002-06-03 00:00:00+09:00,엔하5터치,롱,4877.2919921875,4578.4853515625,5,5봉경과,-6.126486605756468,22.647583915913454,True,학습,음운,5136.337829589844,5436.997798039363,False,False,False
대한광통신,010170.KQ,2002-06-11 00:00:00+09:00,엔하5터치,롱,4530.291015625,4723.0693359375,5,5봉경과,4.255318690291782,105.15677832879872,True,학습,음운,4744.395343017578,4866.2164142315205,False,False,False
대한광통신,010170.KQ,2002-06-27 00:00:00+09:00,엔하5터치,롱,4029.067138671875,4366.42919921875,5,5봉경과,8.373205234253843,115.14930885923,True,학습,음운,4437.034353637695,4501.837553757888,False,False,False
대한광통신,010170.KQ,2010-02-05 00:00:00+09:00,엔하5터치,롱,4284.49853515625,4655.5966796875,5,5봉경과,8.661413733397778,109.86020325220387,True,학습,음운,4420.828771972656,4476.326702411358,False,False,False
대한광통신,010170.KQ,2010-08-23 00:00:00+09:00,엔하5터치,롱,3113.3701171875,2443.46533203125,5,5봉경과,-21.51703009732156,-58.34520181041575,False,학습,음운,3375.187118530273,3451.890637911283,False,False,False
대한광통신,010170.KQ,2010-09-27 00:00:00+09:00,엔하5터치,롱,2159.1171875,2207.311767578125,5,5봉경과,2.232142857142857,-3.3035802769140545,False,학습,음운,2217.010989379882,2242.7395125169023,False,False,False
대한광통신,010170.KQ,2011-08-09 00:00:00+09:00,엔하5터치,롱,1609.6990966796875,1701.268798828125,5,5봉경과,5.688622323098618,138.58614090454623,True,학습,음운,1848.744206237793,1929.6369458712063,False,False,False
대한광통신,010170.KQ,2012-12-26 00:00:00+09:00,엔하5터치,롱,1426.5596923828125,1474.7542724609375,5,5봉경과,3.3783780892914885,116.551185748704,True,학습,음운,1807.8390563964845,1907.7871915377104,False,False,False
대한광통신,010170.KQ,2013-10-08 00:00:00+09:00,엔하5터치,롱,1007.2667846679688,1007.2667846679688,5,5봉경과,0.0,112.28476459158657,True,학습,음운,1199.5029670715332,1234.499650515043,False,False,False
대한광통신,010170.KQ,2013-10-15 00:00:00+09:00,엔하5터치,롱,1012.0862426757812,1127.7532958984375,5,5봉경과,11.428576769984792,131.0631799287114,True,학습,음운,1046.834524536133,1121.7660017747146,False,False,False
대한광통신,010170.KQ,2015-08-24 00:00:00+09:00,엔하5터치,롱,955.2166137695312,927.2637939453124,5,5봉경과,-2.9263330873098727,25.56000052586916,True,학습,음운,975.5788383483888,997.3034641559308,False,False,False
대한광통신,010170.KQ,2018-10-29 00:00:00+09:00,엔하5터치,롱,4740.0,5280.0,5,5봉경과,11.39240506329114,138.11594549912684,True,검증,음운,5348.5,5531.346153846154,False,False,False
대한광통신,010170.KQ,2019-03-28 00:00:00+09:00,엔하5터치,롱,4050.0,4270.0,5,5봉경과,5.432098765432099,131.00889688099147,True,검증,음운,4629.3125,4730.889423076923,False,False,False
대한광통신,010170.KQ,2019-08-05 00:00:00+09:00,엔하5터치,롱,3255.0,3450.0,5,5봉경과,5.990783410138248,72.85003799649664,True,검증,음운,3636.9375,3735.9375,False,False,False
대한광통신,010170.KQ,2019-11-21 00:00:00+09:00,엔하5터치,롱,3290.0,3340.0,5,5봉경과,1.5197568389057752,78.7616455473087,True,검증,음운,3514.875,3662.2596153846152,False,False,False
대한광통신,010170.KQ,2019-12-02 00:00:00+09:00,엔하5터치,롱,3240.0,3380.0,5,5봉경과,4.320987654320987,100.96671057196065,True,검증,음운,3361.875,3383.9903846153848,False,False,False
대한광통신,010170.KQ,2020-02-03 00:00:00+09:00,엔하5터치,롱,2650.0,3050.0,5,5봉경과,15.09433962264151,129.87015284323678,True,검증,음운,3004.75,3144.903846153846,False,False,False
대한광통신,010170.KQ,2020-03-12 00:00:00+09:00,엔하5터치,롱,2170.0,1375.0,5,5봉경과,-36.63594470046083,-8.159441890575366,False,검증,음운,2644.625,2717.163461538461,False,False,False
대한광통신,010170.KQ,2021-03-09 00:00:00+09:00,엔하5터치,롱,3145.0,3435.0,5,5봉경과,9.220985691573928,107.88342700010531,True,검증,음운,3289.1875,3401.418269230769,False,False,False
대한광통신,010170.KQ,2022-01-25 00:00:00+09:00,엔하5터치,롱,2045.0,2185.0,5,5봉경과,6.845965770171149,108.74386697342676,True,검증,음운,2255.875,2320.528846153846,False,False,False
대한광통신,010170.KQ,2022-02-14 00:00:00+09:00,엔하5터치,롱,1985.0,2000.0,5,5봉경과,0.7556675062972292,58.642850679115526,True,검증,음운,2110.6875,2114.879807692308,False,False,False
대한광통신,010170.KQ,2024-03-06 00:00:00+09:00,엔하5터치,롱,1080.0,1116.0,5,5봉경과,3.333333333333333,96.5389788656799,True,검증,음운,1171.65,1205.5961538461538,False,False,False
대한광통신,010170.KQ,2024-03-15 00:00:00+09:00,엔하5터치,롱,1061.0,1144.0,5,5봉경과,7.822808671065033,42.63223951900999,False,검증,음운,1078.3625,1098.3701923076924,False,False,False
대한광통신,010170.KQ,2024-03-19 00:00:00+09:00,엔하5터치,롱,1041.0,1105.0,5,5봉경과,6.147934678194044,88.6671925308487,True,검증,음운,1071.5375,1082.8221153846152,False,False,False
대한광통신,010170.KQ,2024-11-15 00:00:00+09:00,엔하5터치,롱,773.0,713.0,5,5봉경과,-7.761966364812419,26.969279883817777,True,검증,음운,971.2875,989.4951923076924,False,False,False
대한광통신,010170.KQ,2025-03-20 00:00:00+09:00,엔하5터치,롱,492.0,508.0,5,5봉경과,3.252032520325204,64.04790503428158,True,검증,음운,588.075,600.5288461538462,False,False,False
두산에너빌리티,034020.KS,2001-09-17 00:00:00+09:00,엔하5터치,롱,3684.751220703125,4301.9013671875,5,5봉경과,16.74876021525845,60.0824514129604,True,학습,음운,4892.278585815429,5329.031267606295,False,False,False
두산에너빌리티,034020.KS,2002-06-27 00:00:00+09:00,엔하5터치,롱,3936.9267578125,4416.73974609375,5,5봉경과,12.187501007711193,136.48799197102375,True,학습,음운,4652.416906738281,4930.888376089242,False,False,False
두산에너빌리티,034020.KS,2008-09-01 00:00:00+09:00,엔하5터치,롱,46722.578125,57075.49609375,5,5봉경과,22.158276328528263,146.41396012264454,True,학습,음운,58530.12446289063,61084.22365159255,False,False,False
두산에너빌리티,034020.KS,2008-10-10 00:00:00+09:00,엔하5터치,롱,41277.21875,36974.703125,5,5봉경과,-10.423463002821624,1.605919131996572,True,학습,음운,47903.25639648437,52314.36423903245,False,False,False
두산에너빌리티,034020.KS,2008-10-20 00:00:00+09:00,엔하5터치,롱,38319.2421875,26890.6953125,5,5봉경과,-29.82456390728957,-3.233524067157191,False,학습,음운,43146.1228515625,44801.452599158656,False,False,False
두산에너빌리티,034020.KS,2008-10-23 00:00:00+09:00,엔하5터치,롱,29747.837890625,32470.515625,5,5봉경과,9.15252309894108,151.24306299690872,True,학습,음운,37728.06704101562,40686.56109149639,False,False,False
두산에너빌리티,034020.KS,2010-05-03 00:00:00+09:00,엔하5터치,롱,51159.78125,49045.1796875,5,5봉경과,-4.133327998739244,19.64783277243797,True,학습,음운,57080.67822265625,58222.460975060094,False,False,False
두산에너빌리티,034020.KS,2011-03-14 00:00:00+09:00,엔하5터치,롱,39933.78125,44753.37890625,5,5봉경과,12.06897394984353,135.37984312127244,True,학습,음운,45432.42294921875,46105.577336237984,False,False,False
두산에너빌리티,034020.KS,2012-04-25 00:00:00+09:00,엔하5터치,롱,37330.47265625,37887.640625,5,5봉경과,1.4925285674268498,85.75856353380377,True,학습,음운,38844.40737304687,39466.40367713341,False,False,False
두산에너빌리티,034020.KS,2012-10-26 00:00:00+09:00,엔하5터치,롱,34474.96875,31828.40625,5,5봉경과,-7.676765479301559,-18.894445554306905,False,학습,음운,35498.76923828125,36047.36872746394,False,False,False
두산에너빌리티,034020.KS,2012-11-30 00:00:00+09:00,엔하5터치,롱,28311.263671875,30156.892578125,5,5봉경과,6.519062263135525,91.41950181501458,True,학습,음운,29167.04140625,29355.62297175481,False,False,False
두산에너빌리티,034020.KS,2013-04-18 00:00:00+09:00,엔하5터치,롱,26770.041015625,28292.67578125,5,5봉경과,5.687831276523919,122.59699790127476,True,학습,음운,28275.41271972656,29178.09826660156,False,False,False
두산에너빌리티,034020.KS,2013-12-10 00:00:00+09:00,엔하5터치,롱,24468.384765625,23299.8515625,5,5봉경과,-4.775685907827647,44.13419236093238,True,학습,음운,25399.22685546875,25940.45691856971,False,False,False
두산에너빌리티,034020.KS,2014-08-06 00:00:00+09:00,엔하5터치,롱,20809.947265625,21027.09375,5,5봉경과,1.043474457687331,51.83421856740874,True,학습,음운,21921.468969726564,22685.10337477464,False,False,False
두산에너빌리티,034020.KS,2014-08-11 00:00:00+09:00,엔하5터치,롱,20375.65234375,20267.080078125,5,5봉경과,-0.5328529550530111,28.34343010408383,True,학습,음운,21028.45114746094,21726.3845308744,False,False,False
두산에너빌리티,034020.KS,2014-08-21 00:00:00+09:00,엔하5터치,롱,19688.021484375,20846.13671875,5,5봉경과,5.8823342675347785,92.87353004467138,True,학습,음운,20366.60432128906,20562.871854341945,False,False,False
두산에너빌리티,034020.KS,2014-10-01 00:00:00+09:00,엔하5터치,롱,17914.650390625,17371.783203125,5,5봉경과,-3.030297413920455,75.33084858927322,True,학습,음운,19332.44006347656,19606.93645770733,False,False,False
두산에너빌리티,034020.KS,2014-10-21 00:00:00+09:00,엔하5터치,롱,16539.3828125,16539.3828125,5,5봉경과,0.0,-9.89565079618862,False,학습,음운,16828.46123046875,16947.056978665867,False,False,False
두산에너빌리티,034020.KS,2015-08-21 00:00:00+09:00,엔하5터치,롱,12915.1142578125,13848.287109375,5,5봉경과,7.225432411471027,129.6730049752087,True,학습,음운,13840.35479736328,14148.158470740686,False,False,False
두산에너빌리티,034020.KS,2016-01-15 00:00:00+09:00,엔하5터치,롱,11368.1689453125,11911.3583984375,5,5봉경과,4.7781613357265975,105.27680876414624,True,학습,음운,13330.43856201172,13989.726895845854,False,False,False
두산에너빌리티,034020.KS,2017-08-04 00:00:00+09:00,엔하5터치,롱,14724.0869140625,14763.66796875,5,5봉경과,0.2688183988488781,41.83884223310815,True,학습,음운,15890.238439941406,16116.458256648137,False,False,False
