날짜,지역,제품,수량,단가
2025-01-01,부산,모니터,12,260000
2025-01-02,대구,모니터,17,345000
2025-01-02,인천,마우스,15,29000
2025-01-07,인천,키보드,16,26000
2025-01-08,부산,모니터,14,372000
2025-01-13,대구,노트북,8,1028000
2025-01-13,부산,마우스,13,20000
2025-01-15,인천,모니터,11,321000
2025-01-16,서울,노트북,7,1038000
2025-01-16,부산,노트북,7,820000
2025-01-25,서울,노트북,5,1442000
2025-01-27,부산,모니터,9,290000
2025-01-30,서울,마우스,6,12000
2025-01-31,부산,노트북,10,1409000
2025-02-01,부산,모니터,14,249000
2025-02-02,대구,마우스,1,28000
2025-02-03,부산,키보드,19,40000
2025-02-05,대구,키보드,12,52000
2025-02-08,부산,노트북,18,836000
2025-02-08,인천,마우스,9,20000
2025-02-09,대구,모니터,8,219000
2025-02-11,인천,키보드,1,54000
2025-02-13,부산,키보드,4,55000
2025-02-16,부산,노트북,19,1401000
2025-02-17,부산,노트북,6,1216000
2025-02-17,부산,키보드,10,34000
2025-02-17,대구,노트북,8,1214000
2025-02-19,인천,노트북,12,1233000
2025-02-21,부산,키보드,10,34000
2025-02-21,인천,키보드,4,53000
2025-02-22,서울,마우스,19,23000
2025-02-22,서울,키보드,13,26000
2025-02-27,대구,키보드,14,30000
2025-02-28,서울,모니터,13,275000
2025-03-01,서울,키보드,18,29000
2025-03-04,인천,마우스,5,24000
2025-03-11,인천,모니터,6,162000
2025-03-17,서울,마우스,2,17000
2025-03-17,서울,마우스,4,23000
2025-03-20,대구,마우스,6,27000
2025-03-21,부산,모니터,10,205000
2025-03-25,대구,노트북,4,1392000
2025-03-26,인천,노트북,1,1199000
2025-03-26,인천,모니터,5,309000
2025-04-01,인천,마우스,1,15000
2025-04-01,인천,마우스,2,27000
2025-04-02,대구,키보드,2,26000
2025-04-02,대구,키보드,1,54000
2025-04-08,부산,모니터,3,220000
2025-04-19,부산,모니터,10,252000
2025-04-20,부산,모니터,19,297000
2025-04-21,인천,마우스,9,28000
2025-04-23,부산,키보드,17,51000
2025-04-28,서울,노트북,11,1210000
2025-04-28,서울,노트북,2,1138000
2025-05-03,대구,키보드,13,28000
2025-05-03,부산,마우스,16,13000
2025-05-03,부산,마우스,18,12000
2025-05-04,인천,노트북,16,1368000
2025-05-05,인천,모니터,14,198000
2025-05-05,인천,모니터,18,187000
2025-05-06,대구,노트북,10,961000
2025-05-06,서울,키보드,9,48000
2025-05-10,대구,키보드,4,45000
2025-05-13,대구,키보드,9,58000
2025-05-16,부산,마우스,8,27000
2025-05-19,부산,모니터,11,365000
2025-05-20,인천,모니터,15,170000
2025-05-21,서울,마우스,2,27000
2025-05-23,인천,모니터,12,191000
2025-05-23,인천,마우스,8,12000
2025-05-25,부산,키보드,11,33000
2025-05-28,인천,마우스,16,13000
2025-05-29,서울,마우스,8,13000
2025-05-30,서울,모니터,8,223000
2025-06-02,인천,키보드,14,54000
2025-06-03,대구,노트북,14,1134000
2025-06-06,대구,마우스,16,27000
