종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,동시신호개수,신호2존재여부,신호2까지거리(일),신호3존재여부,신호3까지거리(일),구간
HD현대일렉트릭,267260.KS,2017-09-04 00:00:00+09:00,엔하4터치,롱,52780.08203125,44748.328125,5,5봉경과,-15.217395648408738,4.7603365009571235,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2017-09-08 00:00:00+09:00,엔하5터치,롱,44270.2578125,47138.734375,5,5봉경과,6.479466586006795,118.9192576277367,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2017-09-28 00:00:00+09:00,엔하4터치,롱,46316.328125,49370.1484375,5,5봉경과,6.593398993672925,80.83516877799914,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-02-09 00:00:00+09:00,엔하4터치,롱,39211.09765625,39048.234375,5,5봉경과,-0.4153499671898132,30.073692559274015,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-03-02 00:00:00+09:00,엔하4터치,롱,35587.23046875,34895.03515625,5,5봉경과,-1.9450665403924403,68.46518207657883,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-03-14 00:00:00+09:00,엔하4터치,롱,33754.9296875,32981.30078125,5,5봉경과,-2.2918990304888336,-91.09326330519943,False,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-03-23 00:00:00+09:00,엔하5터치,롱,31108.287109375,33592.0625,5,5봉경과,7.984288501299298,73.32465280711968,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-04-10 00:00:00+09:00,엔하5터치,롱,30293.935546875,31271.15625,5,5봉경과,3.225796468778076,36.19011828496368,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-07-04 00:00:00+09:00,엔하4터치,롱,25489.251953125,24878.484375,5,5봉경과,-2.3961769425332995,31.700406715890637,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-07-23 00:00:00+09:00,엔하5터치,롱,22883.3203125,26832.93359375,5,5봉경과,17.259791093744933,105.95231140639032,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-10-31 00:00:00+09:00,엔하4터치,롱,19178.015625,16449.931640625,5,5봉경과,-14.225058722023022,7.999471106183222,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-11-01 00:00:00+09:00,엔하5터치,롱,18078.63671875,16551.724609375,5,5봉경과,-8.445947186888185,5.453870299376476,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-11-06 00:00:00+09:00,엔하5터치,롱,18160.07421875,18058.279296875,5,5봉경과,-0.5605424330804677,144.37302418445105,True,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2018-11-23 00:00:00+09:00,엔하4터치,롱,18037.919921875,22353.9921875,5,5봉경과,23.927771518659423,63.480113692433534,False,1,False,,False,,학습
HD현대일렉트릭,267260.KS,2019-04-25 00:00:00+09:00,엔하4터치,롱,18892.9921875,18119.35546875,5,5봉경과,-4.094834270147289,-18.718334971130297,False,1,False,,False,,학습
