연월,서울,부산,대구,인천
2025-01,14548000.0,31028000.0,14089000.0,4382000.0
2025-02,4350000.0,54109000.0,12536000.0,15242000.0
2025-03,648000.0,2050000.0,5730000.0,3836000.0
2025-04,15586000.0,9690000.0,106000.0,321000.0
2025-05,2374000.0,5018000.0,10676000.0,33172000.0
2025-06,2007000.0,16778000.0,30681000.0,32910000.0
2025-07,40986000.0,8175000.0,12343000.0,4943000.0
2025-08,7795000.0,,30480000.0,5565000.0
2025-09,390000.0,25900000.0,1845000.0,656000.0
2025-10,34929000.0,29733000.0,27760000.0,42947000.0
2025-11,8749000.0,14487000.0,13104000.0,8415000.0
2025-12,19574000.0,17093000.0,48257000.0,13360000.0
